Date,Weekday,Month,TrainNo,TrainType,Direction,TripLine,StationID,StopSeq,ScheduledArr,FirstDep,LastArr,Period,IsHoliday,HolidayType,IsTerminal,RunMin,StationClass,SideTrackCount,IsDouble,MixIndex,SpeedDiff,PrevDelay,DelayTime,IsDelayed,IsDelayed_Research,StationName
2026-03-01,,,139,自強,1,1.0,5050,24.0,22:29,16:23,22:29,離峰,1,週末,1,13.0,,,,2.0,17.0,2.0,1,0,0,潮州
2026-03-01,,,141,自強,1,1.0,5050,24.0,23:09,16:55,23:09,離峰,1,週末,1,13.0,,,,4.0,8.0,0.0,0,0,0,潮州
2026-03-01,,,142,自強,0,1.0,0930,26.0,21:44,15:35,21:44,離峰,1,週末,1,10.0,,,,5.0,8.0,3.0,3,0,1,七堵
2026-03-01,,,143,自強,1,1.0,5050,15.0,22:33,17:20,22:33,離峰,1,週末,1,11.0,,,,2.0,17.0,0.0,1,0,0,潮州
2026-03-01,,,144,自強,0,1.0,0900,28.0,22:47,16:35,22:47,離峰,1,週末,1,10.0,,,,2.0,5.0,0.0,0,0,0,基隆
2026-03-01,,,145,自強,1,2.0,5050,28.0,23:40,17:37,23:40,離峰,1,週末,1,11.0,,,,4.0,8.0,0.0,0,0,0,潮州
2026-03-01,,,146,自強,0,2.0,0930,27.0,22:44,16:50,22:44,離峰,1,週末,1,10.0,,,,3.0,11.0,1.0,0,0,0,七堵
2026-03-01,,,148,自強,0,1.0,0930,8.0,20:18,17:40,20:18,離峰,1,週末,1,16.0,,,,3.0,52.0,7.0,6,1,1,七堵
2026-03-01,,,150,自強,0,1.0,0930,26.0,23:51,17:48,23:51,離峰,1,週末,1,10.0,,,,3.0,52.0,0.0,3,0,1,七堵
2026-03-01,,,154,自強,0,1.0,0980,11.0,22:56,18:14,22:56,離峰,1,週末,1,4.0,,,,4.0,126.0,0.0,0,0,0,南港
2026-03-01,,,155,自強,1,1.0,3300,13.0,23:21,20:28,23:21,離峰,1,週末,1,11.0,,,,2.0,8.0,8.0,7,1,1,臺中
2026-03-01,,,156,自強,0,0.0,4080,11.0,22:35,20:43,22:35,離峰,1,週末,1,16.0,,,,2.0,46.0,4.0,2,0,1,嘉義
2026-03-01,,,157,自強,1,1.0,3160,13.0,23:34,21:09,23:34,離峰,1,週末,1,11.0,,,,2.0,6.0,0.0,0,0,0,苗栗
2026-03-01,,,160,自強,0,2.0,0930,19.0,21:30,17:36,21:30,離峰,1,週末,1,10.0,,,,5.0,8.0,1.0,5,1,1,七堵
2026-03-01,,,161,自強,1,1.0,6000,22.0,12:15,05:46,12:15,離峰,1,週末,1,78.0,,,,2.0,66.0,0.0,3,0,1,臺東
2026-03-01,,,165,傾斜式自強,1,1.0,6000,12.0,18:57,13:15,18:57,尖峰,1,週末,1,78.0,,,,3.0,69.0,0.0,1,0,0,臺東
2026-03-01,,,168,自強,0,1.0,0930,23.0,22:51,16:00,22:51,離峰,1,週末,1,15.0,,,,3.0,11.0,4.0,8,1,1,七堵
2026-03-01,,,170,自強,0,1.0,7000,27.0,12:44,05:53,12:44,離峰,1,週末,1,45.0,,,,3.0,22.0,0.0,0,0,0,花蓮
2026-03-01,,,172,自強,0,1.0,7000,36.0,19:17,10:31,19:17,尖峰,1,週末,1,13.0,,,,4.0,52.0,0.0,0,0,0,花蓮
2026-03-01,,,175,自強,1,1.0,5050,36.0,21:40,12:55,21:40,離峰,1,週末,1,13.0,,,,3.0,8.0,5.0,3,0,1,潮州
2026-03-01,,,176,自強,0,1.0,7360,24.0,18:40,12:18,18:40,尖峰,1,週末,1,14.0,,,,4.0,33.0,2.0,0,0,0,瑞芳
2026-03-01,,,177,自強,1,1.0,3480,35.0,21:27,14:22,21:27,離峰,1,週末,1,7.0,,,,2.0,3.0,1.0,2,0,1,斗南
2026-03-01,,,194,自強,0,1.0,0930,8.0,14:52,12:16,14:52,離峰,1,週末,1,16.0,,,,2.0,12.0,0.0,2,0,1,七堵
2026-03-01,,,196,自強,0,1.0,3300,13.0,22:48,19:48,22:48,離峰,1,週末,1,14.0,,,,2.0,11.0,0.0,0,0,0,臺中
2026-03-01,,,2,自強,0,1.0,1001,24.0,21:42,08:05,21:42,離峰,1,週末,1,9.0,,,,1.0,0.0,1.0,0,0,0,臺北-環島
2026-03-01,,,2013,區間快,1,2.0,4080,30.0,15:53,11:10,15:53,離峰,1,週末,1,8.0,,,,4.0,32.0,2.0,1,0,0,嘉義
2026-03-01,,,2015,區間快,1,1.0,3360,17.0,13:59,11:06,13:59,離峰,1,週末,1,9.0,,,,4.0,10.0,2.0,2,0,1,彰化
2026-03-01,,,2016,區間快,0,1.0,3300,6.0,12:20,11:30,12:20,離峰,1,週末,1,8.0,,,,3.0,11.0,0.0,0,0,0,臺中
2026-03-01,,,2019,區間快,1,1.0,3470,19.0,19:17,16:42,19:17,尖峰,1,週末,1,9.0,,,,3.0,17.0,5.0,5,1,1,斗六
2026-03-01,,,2021,區間快,1,1.0,3360,7.0,18:04,17:20,18:04,尖峰,1,週末,1,10.0,,,,4.0,28.0,0.0,0,0,0,彰化
2026-03-01,,,2027,區間快,1,1.0,4080,14.0,20:45,19:05,20:45,離峰,1,週末,1,7.0,,,,3.0,42.0,0.0,0,0,0,嘉義
2026-03-01,,,2032,區間快,0,1.0,1210,12.0,16:25,14:46,16:25,離峰,1,週末,1,14.0,,,,3.0,25.0,0.0,0,0,0,新竹
2026-03-01,,,2033,區間快,1,2.0,3360,28.0,20:29,16:50,20:29,離峰,1,週末,1,12.0,,,,3.0,10.0,0.0,0,0,0,彰化
2026-03-01,,,2036,區間快,0,1.0,0930,21.0,20:04,16:34,20:04,離峰,1,週末,1,10.0,,,,3.0,52.0,4.0,7,1,1,七堵
2026-03-01,,,2037,區間快,1,1.0,3300,27.0,21:25,17:51,21:25,離峰,1,週末,1,9.0,,,,3.0,50.0,5.0,4,0,1,臺中
2026-03-01,,,2046,區間快,0,2.0,0930,27.0,23:44,20:07,23:44,離峰,1,週末,1,10.0,,,,3.0,52.0,0.0,0,0,0,七堵
2026-03-01,,,21,自強,1,0.0,1040,11.0,21:06,16:25,21:06,離峰,1,週末,1,6.0,,,,4.0,12.0,5.0,5,1,1,樹林
2026-03-01,,,2143,區間,1,1.0,4080,48.0,12:16,08:12,12:16,離峰,1,週末,1,4.0,,,,3.0,42.0,0.0,0,0,0,嘉義
2026-03-01,,,215,自強,1,0.0,1040,13.0,14:03,10:32,14:03,離峰,1,週末,1,7.0,,,,4.0,6.0,0.0,0,0,0,樹林
2026-03-01,,,2153,區間,1,1.0,4080,74.0,13:19,06:58,13:19,離峰,1,週末,1,4.0,,,,4.0,30.0,0.0,0,0,0,嘉義
2026-03-01,,,2154,區間,0,1.0,0900,74.0,13:41,07:41,13:41,離峰,1,週末,1,5.0,,,,2.0,0.0,1.0,0,0,0,基隆
2026-03-01,,,2159,區間,1,1.0,3360,14.0,12:25,11:32,12:25,離峰,1,週末,1,6.0,,,,3.0,14.0,0.0,0,0,0,彰化
