Date,TaiwanDate,TrainNo,MeanDelay,MaxDelay,ObservedStopCount_Actual,TrainType,Direction,TripLine,CoverageRate,ObservedStopCount,ScheduledStopCount,IsHoliday,HolidayType,Period,TerminalDelay,IsDelayed,IsDelayed_Research
2026-03-18,2026-03-18,1252,0.4375,2.0,16,區間,0,0,0.5,16,32,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1254,1.0,2.0,12,區間,0,0,0.4444,12,27,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1257,0.4,2.0,5,區間,1,1,0.119,5,42,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1258,0.9444444444444444,3.0,18,區間,0,1,0.4615,18,39,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1261,0.0,0.0,2,區間,1,0,0.087,2,23,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1262,0.9166666666666666,2.0,12,區間,0,0,0.375,12,32,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1268,0.1,1.0,10,區間,0,1,0.2564,10,39,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,127,1.375,4.0,8,自強,1,1,1.0,8,8,0,平日,離峰,3.0,0,0
2026-03-18,2026-03-18,1272,0.0,0.0,2,區間,0,0,0.0625,2,32,0,平日,離峰,,0,0
2026-03-18,2026-03-18,1274,0.0,0.0,2,區間,0,0,0.0741,2,27,0,平日,離峰,,0,0
2026-03-18,2026-03-18,1278,0.0,0.0,2,區間,0,1,0.0513,2,39,0,平日,離峰,,0,0
2026-03-18,2026-03-18,128,0.7307692307692307,3.0,26,自強,0,1,0.963,26,27,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,129,1.826086956521739,5.0,23,自強,1,1,0.9583,23,24,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,130,0.47058823529411764,3.0,17,自強,0,2,0.9444,17,18,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,131,0.0,0.0,13,自強,1,1,1.0,13,13,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,132,0.9285714285714286,3.0,14,自強,0,1,1.0,14,14,0,平日,離峰,2.0,0,0
